"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009615","response to virus","18/34","400/18842",0.045,24.9379411764706,20.5746713869154,8.473141908597e-22,4.98220744225504e-18,4.98220744225504e-18,"CCL8/IFI27/MX1/CXCL10/IFITM3/IFI44L/USP18/IFI44/IFIT1/GBP1/OAS1/OASL/IFIT3/ISG15/IFI6/RSAD2/OAS2/DDX60",18
"GO:0051607","defense response to virus","16/34","305/18842",0.0524590163934426,29.0715525554484,21.0143883000165,2.54172166017877e-20,7.47266168092559e-17,7.47266168092559e-17,"IFI27/MX1/CXCL10/IFITM3/IFI44L/USP18/IFIT1/GBP1/OAS1/OASL/IFIT3/ISG15/IFI6/RSAD2/OAS2/DDX60",16
"GO:0019079","viral genome replication","10/34","110/18842",0.0909090909090909,50.379679144385,22.0837416048467,3.53130125818517e-15,6.92135046604294e-12,6.92135046604294e-12,"CCL8/MX1/IFITM3/CCL2/IFIT1/OAS1/OASL/ISG15/RSAD2/OAS2",10
"GO:0045071","negative regulation of viral genome replication","8/34","48/18842",0.166666666666667,92.3627450980392,26.9463702402412,1.65796304132315e-14,2.43720567074503e-11,2.43720567074503e-11,"MX1/IFITM3/IFIT1/OAS1/OASL/ISG15/RSAD2/OAS2",8
"GO:0019058","viral life cycle","12/34","284/18842",0.0422535211267606,23.4159072079536,16.1834097501258,4.44988734005776e-14,5.23306751190793e-11,5.23306751190793e-11,"LAMP3/CCL8/MX1/IFITM3/CCL2/IFIT1/SIGLEC1/OAS1/OASL/ISG15/RSAD2/OAS2",12
"GO:1903900","regulation of viral life cycle","9/34","110/18842",0.0818181818181818,45.3417112299465,19.8306451173087,2.62122742258563e-13,2.56880287413392e-10,2.56880287413392e-10,"LAMP3/MX1/IFITM3/IFIT1/OAS1/OASL/ISG15/RSAD2/OAS2",9
"GO:0140374","antiviral innate immune response","8/34","73/18842",0.10958904109589,60.7316680096696,21.7403049071994,5.72724771592527e-13,4.43399156104182e-10,4.43399156104182e-10,"MX1/CXCL10/USP18/IFIT1/OAS1/OASL/IFIT3/OAS2",8
"GO:0048525","negative regulation of viral process","8/34","74/18842",0.108108108108108,59.9109697933227,21.5885343942652,6.41356325134188e-13,4.43399156104182e-10,4.43399156104182e-10,"MX1/IFITM3/IFIT1/OAS1/OASL/ISG15/RSAD2/OAS2",8
"GO:0034340","response to type I interferon","9/34","122/18842",0.0737704918032787,40.8818707810993,18.7898208948411,6.78672177710483e-13,4.43399156104182e-10,4.43399156104182e-10,"IFI27/MX1/IFITM3/USP18/IFIT1/OAS1/OASL/ISG15/OAS2",9
"GO:0045069","regulation of viral genome replication","8/34","77/18842",0.103896103896104,57.5767761650115,21.150926715762,8.92131644574701e-13,5.24573407009924e-10,5.24573407009924e-10,"MX1/IFITM3/IFIT1/OAS1/OASL/ISG15/RSAD2/OAS2",8
"GO:0016032","viral process","12/34","383/18842",0.031331592689295,17.3632314544617,13.7557571742055,1.53671729814072e-12,8.21445246642493e-10,8.21445246642493e-10,"LAMP3/CCL8/MX1/IFITM3/CCL2/IFIT1/SIGLEC1/OAS1/OASL/ISG15/RSAD2/OAS2",12
"GO:0050792","regulation of viral process","9/34","136/18842",0.0661764705882353,36.6734429065744,17.7518712871189,1.83136840275691e-12,8.97370517350886e-10,8.97370517350886e-10,"LAMP3/MX1/IFITM3/IFIT1/OAS1/OASL/ISG15/RSAD2/OAS2",9
"GO:0071357","cellular response to type I interferon","8/34","116/18842",0.0689655172413793,38.2190669371197,17.0959048382241,2.56722163183196e-11,1.1611740919363e-08,1.1611740919363e-08,"IFI27/IFITM3/USP18/IFIT1/OAS1/OASL/ISG15/OAS2",8
"GO:0060337","type I interferon-mediated signaling pathway","7/34","80/18842",0.0875,48.4904411764706,18.0980488882209,9.33093925906942e-11,3.91899448880916e-08,3.91899448880916e-08,"IFI27/IFITM3/USP18/OAS1/OASL/ISG15/OAS2",7
"GO:0140888","interferon-mediated signaling pathway","7/34","105/18842",0.0666666666666667,36.9450980392157,15.7037878255235,6.47850135534121e-10,2.53957253129376e-07,2.53957253129376e-07,"IFI27/IFITM3/USP18/OAS1/OASL/ISG15/OAS2",7
"GO:0070106","interleukin-27-mediated signaling pathway","4/34","10/18842",0.4,221.670588235294,29.6767511632807,1.840908857811e-09,6.76534005245542e-07,6.76534005245542e-07,"MX1/OAS1/OASL/OAS2",4
"GO:0001562","response to protozoan","3/34","18/18842",0.166666666666667,92.3627450980392,16.4880600575643,4.30010167557642e-06,0.00130407840294223,0.00130407840294223,"GBP6/GBP1/BATF2",3
"GO:0042832","defense response to protozoan","3/34","18/18842",0.166666666666667,92.3627450980392,16.4880600575643,4.30010167557642e-06,0.00130407840294223,0.00130407840294223,"GBP6/GBP1/BATF2",3
"GO:0032479","regulation of type I interferon production","5/34","137/18842",0.0364963503649635,20.2254186346071,9.60234615774579,4.43564082633412e-06,0.00130407840294223,0.00130407840294223,"SIGLEC1/OAS1/XAF1/ISG15/OAS2",5
"GO:0032606","type I interferon production","5/34","137/18842",0.0364963503649635,20.2254186346071,9.60234615774579,4.43564082633412e-06,0.00130407840294223,0.00130407840294223,"SIGLEC1/OAS1/XAF1/ISG15/OAS2",5
"GO:0035455","response to interferon-alpha","3/34","20/18842",0.15,83.1264705882353,15.6237542001798,5.99268516121363e-06,0.00167795184513982,0.00167795184513982,"LAMP3/IFITM3/OAS1",3
"GO:0060339","negative regulation of type I interferon-mediated signaling pathway","3/34","21/18842",0.142857142857143,79.1680672268908,15.2383449004181,6.98284345948944e-06,0.00186632361553627,0.00186632361553627,"USP18/OAS1/ISG15",3
"GO:0045088","regulation of innate immune response","7/34","482/18842",0.0145228215767635,8.04820600439346,6.66478117914152,2.02829857088762e-05,0.00518538938992139,0.00518538938992139,"USP18/OAS1/SERPING1/OASL/ISG15/RSAD2/DDX60",7
"GO:0045824","negative regulation of innate immune response","4/34","94/18842",0.0425531914893617,23.5819774718398,9.33186719196806,2.40190678740727e-05,0.00588467162914781,0.00588467162914781,"USP18/OAS1/SERPING1/ISG15",4
"GO:0035456","response to interferon-beta","3/34","34/18842",0.0882352941176471,48.8979238754325,11.8851581524628,3.09176837581802e-05,0.00727183921992398,0.00727183921992398,"IFITM3/OAS1/XAF1",3
"GO:0051851","host-mediated perturbation of symbiont process","4/34","108/18842",0.037037037037037,20.5250544662309,8.65185035378816,4.14643810645716e-05,0.00936209141526346,0.00936209141526346,"CCL8/IFI27/IFITM3/LY6E",4
"GO:0034341","response to type II interferon","4/34","109/18842",0.036697247706422,20.3367512142472,8.60821721700315,4.2989195274169e-05,0.00936209141526346,0.00936209141526346,"IFITM3/GBP6/CCL2/GBP1",4
"GO:0035821","modulation of process of another organism","4/34","115/18842",0.0347826086956522,19.2757033248082,8.35812841859488,5.30151856626868e-05,0.0110714089079575,0.0110714089079575,"CCL8/IFI27/IFITM3/LY6E",4
"GO:0060338","regulation of type I interferon-mediated signaling pathway","3/34","41/18842",0.0731707317073171,40.5494978479197,10.7786048969306,5.46038874712189e-05,0.0110714089079575,0.0110714089079575,"USP18/OAS1/ISG15",3
"GO:0032728","positive regulation of interferon-beta production","3/34","42/18842",0.0714285714285714,39.5840336134454,10.6432306304864,5.87317257682011e-05,0.0115114182505674,0.0115114182505674,"OAS1/ISG15/OAS2",3
"GO:0002832","negative regulation of response to biotic stimulus","4/34","131/18842",0.0305343511450382,16.9214189492591,7.77479674237344,8.80375218415512e-05,0.0166987299493007,0.0166987299493007,"USP18/OAS1/SERPING1/ISG15",4
"GO:0032608","interferon-beta production","3/34","58/18842",0.0517241379310345,28.6643002028398,8.97139071217538,0.000154776771776472,0.0275784066074441,0.0275784066074441,"OAS1/ISG15/OAS2",3
"GO:0032648","regulation of interferon-beta production","3/34","58/18842",0.0517241379310345,28.6643002028398,8.97139071217538,0.000154776771776472,0.0275784066074441,0.0275784066074441,"OAS1/ISG15/OAS2",3
"GO:1900246","positive regulation of RIG-I signaling pathway","2/34","11/18842",0.181818181818182,100.75935828877,14.0712741020638,0.000172067150729845,0.0297574954791615,0.0297574954791615,"OASL/DDX60",2
"GO:0042742","defense response to bacterium","5/34","322/18842",0.015527950310559,8.60522469857508,5.85247570962848,0.000261715180978822,0.0439681504044421,0.0439681504044421,"GBP6/GBP1/OAS1/ISG15/OAS2",5
"GO:0071346","cellular response to type II interferon","3/34","71/18842",0.0422535211267606,23.4159072079536,8.04566442875696,0.000282140733646231,0.0460829864955511,0.0460829864955511,"GBP6/CCL2/GBP1",3
